"帧号
frame","时间(秒)
time_s","叶子状态（行为树最深活跃状态名）
leaf_state","状态ID链
state_id_chain
(17/3/9 形式，对照 behbnd 层级)","主体动画ID
motion_clip
（CMSG_Motion 下半身动画）","动画层ID
anime_clip
（CMSG_Anime）","脸部动画ID
face_clip","本帧全部动画(\|分隔)
all_clips","主动画英文名
motion_clip_en","主动画中文名
motion_clip_cn","主动画时长(秒)
motion_clip_dur","状态效果ID
motion_clip_speffect","帧聚合ID
debug_unique_id（判断切换点）"
35,0.583,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",13
36,0.6,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",13
37,0.617,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",13
38,0.633,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",13
39,0.65,AddBlendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",14
40,0.667,AddBlendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",14
41,0.683,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",15
42,0.7,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",15
43,0.717,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",15
44,0.733,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",16
45,0.75,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",16
46,0.767,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",17
47,0.783,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",17
48,0.8,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",17
49,0.817,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",17
50,0.833,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",17
51,0.85,StandMovestart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",18
52,0.867,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",19
53,0.883,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",19
54,0.9,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",20
55,0.917,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",20
56,0.933,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",21
57,0.95,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",22
58,0.967,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",22
59,0.983,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",22
60,1,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",23
61,1.017,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",24
62,1.033,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",24
63,1.05,StandMoveStart,17/5/0,a000_000400,a000_100040_Anime,a000_790010,a000_000400|a000_100040|a000_100040_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",25
64,1.067,StandMoveStart,17/5/0,a000_000400,a000_100040_Anime,a000_790010,a000_000400|a000_100040|a000_100040_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",26
65,1.083,StandMoveStart,17/5/0,a000_000400,a000_100040_Anime,a000_790010,a000_000400|a000_100040|a000_100040_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",26
66,1.1,StandMovestart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",27
67,1.117,StandMovestart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",27
68,1.133,StandMovestart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",28
69,1.15,StandMovestart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",28
70,1.167,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",29
71,1.183,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",29
72,1.2,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",30
73,1.217,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",30
74,1.233,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",30
75,1.25,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",31
76,1.267,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",31
77,1.283,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",31
78,1.3,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",31
79,1.317,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",32
80,1.333,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",32
81,1.35,StandMaveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",33
82,1.367,AddBfendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",34
83,1.383,AddBfendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",34
84,1.4,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",35
85,1.417,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",35
86,1.433,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",35
87,1.45,StandMoveStart,5月17日,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",36
88,1.467,StandMoveStart,5月17日,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",36
89,1.483,StandMoveStart,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",37
90,1.5,StandMoveStart,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",37
91,1.517,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",38
92,1.533,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",38
93,1.55,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",38
94,1.567,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",38
95,1.583,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",38
96,1.6,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,,a000_000400|a000_000400_Anime,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",39
97,1.617,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,,a000_000400|a000_000400_Anime,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",39
98,1.633,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,,a000_000400|a000_000400_Anime,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",39
99,1.65,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,,a000_000400|a000_000400_Anime,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",39
100,1.667,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,,a000_000400|a000_000400_Anime,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",39
101,1.683,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",40
102,1.7,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",40
103,1.717,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",40
104,1.733,StandMove,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",41
105,1.75,StandMove,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",41
106,1.767,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",42
107,1.783,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",42
108,1.8,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",42
109,1.817,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",42
110,1.833,AdaBlendFace,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",43
111,1.85,AdaBlendFace,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",43
112,1.867,AdaBlendFace,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",43
113,1.883,AdaBlendFace,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",43
114,1.9,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",44
115,1.917,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",44
116,1.933,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",44
117,1.95,StandMoveloop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",44
118,1.967,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",45
119,1.983,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",45
120,2,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",46
121,2.017,StandMoveLoop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",47
122,2.033,StandMoveLoop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",47
